V,I
0.27654543891055,7.64580187297646
1.74600131501814,7.64172618807745
3.2459804259526,7.63153697582995
4.65402302076552,7.61523423623395
6.18467820471058,7.60912070888545
7.62351914308106,7.60504502398645
9.06226837854131,7.59485581173894
10.5317242546489,7.59078012683994
11.9398279847353,7.57855307214294
13.3782715438281,7.54798543540043
14.7537734397892,7.4032986214859
15.9737552361253,7.09558441161133
17.0685567618429,6.60650222373123
18.2263610859658,6.23561489792214
19.389698152339,6.23357705547264
20.5529740834388,6.22746352812414
21.6856350768015,6.22135000077564
22.8794953780017,6.21319863097764
23.9813885954435,6.19689589138164
25.1138967506225,6.18059315178563
26.2448765239643,6.06239828971461
27.2196331420362,5.73430565534503
28.0090494813013,5.29616952870244
28.7059485193467,4.81320086817083
29.3414342760975,4.31800515294222
29.8852280578207,3.83299864996112
30.3377578114307,3.38671115352052
30.7601311418547,2.97099129382243
31.0913932823492,2.60417965291234
31.4232362079418,2.27608701854277
31.6026463652205,1.99078907561271
31.7825761723238,1.74013445432415
31.9937017022623,1.52819883957611
32.0827342928933,1.34071733422207
32.2333941382762,1.17972778071153
32.3537752899261,1.0411544941455
32.4439083154799,0.927035316973476
32.5341330439438,0.819029667149952
32.5634947085745,0.735478126720433
32.6542085192263,0.660077956088917
32.6838147249509,0.592829155255402
32.7135737688593,0.535769566669389
32.7740700210517,0.486861347881379
32.8040124707804,0.442028813992369
32.8340160557827,0.40127196500236
