V,I
2.89999926386723,8.26699574225424
4.36950989774504,8.25680271516395
5.90019535384714,8.24253247723755
7.33807888784959,8.16506547135135
8.80768125897121,8.16098826051524
10.2466656398994,8.15691104967912
11.7468860012145,8.15283383884301
13.1245732435933,8.14467941717078
14.6240291278765,8.08963707088322
15.968621474479,7.91635561034832
17.3770490233763,7.91635561034832
18.7547668448364,7.91023979409415
20.132545824459,7.90820118867609
21.6020870374181,7.90004676700386
22.9183854040037,7.88169931824134
24.2332159746884,7.76549880941205
25.4541131972663,7.51067313215484
26.5504896606254,7.11926089188777
27.5226817346597,6.61368674820947
28.3100038624451,6.03064559864497
29.0660658393305,5.40479373530127
29.6996252763609,4.77690326653951
30.1806451858871,4.18570769530278
30.6316892659265,3.63732283784527
30.9917661687425,3.14805753751143
31.2608758943352,2.71791179430126
31.5001932649287,2.34280839737865
31.6484823001362,2.02274734674359
31.9199160359055,1.74753561530581
32.0082839912208,1.51513459764723
32.0972023699991,1.3194284775137
32.2171362670273,1.15022422781491
32.3068497019186,1.00752184855087
32.3662509374292,0.885205523467413
32.4259579637525,0.783275252564529
32.4552610534513,0.695615219588049
32.4848087758002,0.624264029956031
32.5450356465051,0.556990051160128
32.5747974224229,0.499909099454513
32.6352995048593,0.450982569421129
