,Values
0,1.2984499424293159
1,0.8583155001027472
2,-0.841084647136506
3,-0.03829849959484275
4,0.7193376204612094
5,0.4230191945624267
6,0.4821229203178843
7,-2.047025313393419
8,-0.07812924038681501
9,-0.3383047128500359
10,0.02908056245557624
11,0.4711775135098856
12,2.0767966141131695
13,0.23399534201393873
14,-0.15269640115967845
15,-0.718406369274859
16,0.5506391123839938
17,-0.31302929702871585
18,0.18689960928195545
19,1.6970764791357578
20,1.2745560743768611
21,0.6872714301004451
22,0.7519323131214062
23,-0.46603133772194066
24,0.9806000288784515
25,-0.27829616366849846
26,0.6323380491285315
27,-0.583339425457651
28,-2.652986971222071
29,0.33119947867284427
30,1.8250597735913137
31,0.5131128015133174
32,-0.7688058517559571
33,-0.10465365101019253
34,-0.211122864259447
35,0.8288907245023114
36,-0.2485817205786594
37,-0.2847588770655351
38,-1.7417920356923007
39,0.2625567255466519
40,-1.6818755076237335
41,0.112207218187041
42,1.2920455588916433
43,-0.6525585040260458
44,-0.5732317294860676
45,-1.8589342366719013
46,-1.7402004765143149
47,1.414720422398887
48,0.4901389337128892
49,-0.21817088843071292
50,0.8080841896307076
51,-0.005032935711418294
52,0.8371902047169768
53,-0.27137648351715027
54,-1.642277821031983
55,1.6761806659046503
56,-1.7752779148236077
57,0.9306576234559242
58,1.6447510611376637
59,-1.5596516441164283
60,0.4796186964493995
61,1.7778036453870405
62,-0.9918476895407935
63,-0.8611400629550996
64,1.7042456135828654
65,-1.3606756037150012
66,0.22976707381306902
67,0.9686189735549823
68,0.9345969521045882
69,0.5267916431005616
70,-1.7927182287438583
71,-0.3430919377180727
72,-0.6691406765489064
73,1.8239598786123068
74,0.09637091230700247
75,-0.17764077544345172
76,-0.05186603324996929
77,-0.8086749095773764
78,-2.262083682803488
79,0.9047419639771759
80,0.19737599055903632
81,2.2680077920754456
82,-0.2952422555649041
83,0.28841538363075114
84,1.2529334236663188
85,-0.0912415516413636
86,1.1157925045323926
87,-0.15266978156275499
88,-0.2813870592663807
89,-0.9322622853867316
90,-1.2458405380262414
91,0.2644496031837061
92,0.4523206360327856
93,0.744478973962444
94,1.238145449499807
95,0.34554233466242745
96,-1.425701260373512
97,-1.2201306032653931
98,-0.5386486951208881
99,-1.1089632576900261
100,1.1629949784928344
101,-1.3354479223202265
102,0.37847969681099775
103,0.803746057147877
104,-0.06123859753643346
105,0.29693730750252373
106,0.3502588574890607
107,0.40026142125763414
108,0.4693916151366158
109,0.018753079726632895
110,0.08570880166495833
111,-0.9364402377462854
112,0.9169842506680201
113,0.24067256412402094
114,1.0961062840238858
115,2.4382581682485136
116,0.8522267097869558
117,1.1192724158703813
118,0.35243407916851716
119,0.1517162491583857
120,-0.39740449695957314
121,-0.9109978136410901
122,0.6446335004403926
123,-0.5053183237427739
124,-0.15196009671074107
125,-0.06441829378458294
126,0.31662543023187023
127,2.0329221319211186
128,0.2727509938112775
129,-0.17063910323084147
130,0.40917006494136055
131,-0.4309573102367342
132,-0.5974059740216466
133,-0.22405956332619087
134,-0.16325353496969852
135,-0.29874486426858604
136,0.40515898158516095
137,1.3866424128802224
138,1.0489515598763977
139,2.595612318004501
140,1.0610925002335196
141,-0.6075800872024769
142,-0.2473097101251777
143,-0.42306389853792375
144,-0.5555471563192722
145,-0.2214669140827567
146,-0.16943700993926653
147,1.9709729821117323
148,1.4348531873967805
149,1.062266610623611
150,-1.3910574437582772
151,0.7223848165511024
152,0.05680955644730754
153,-0.10689491898799248
154,0.4342112290089356
155,-1.0957264665467532
156,-2.300817630300445
157,-2.3664469519942504
158,-0.19439022056828043
159,0.045513865792231836
160,-1.0158956748460966
161,-0.19650430748906123
162,0.1778660461466139
163,-1.0632623846645075
164,1.5925146238707049
165,0.6359225215220415
166,-1.3057618808462834
167,1.5199390124265797
168,0.878423099586105
169,0.9072161066666167
170,-1.3105228406455802
171,-1.0543956270155475
172,1.6401612370592702
173,0.2509104258815274
174,-0.5409257121624236
175,0.4933400212896595
176,-0.9056442575982285
177,-0.06487041665026048
178,0.520245095662831
179,-0.8937846008048879
180,0.3379304244641407
181,-0.9418818824241114
182,-1.3007114593968352
183,0.7718572347693673
184,-0.0898184402354514
185,-1.175767979469835
186,-0.7286712811260196
187,0.5829120685994216
188,-0.43797805645392823
189,-0.2915972255576432
190,0.0930332850885382
191,0.6855602147444716
192,0.08537810241380786
193,-0.8332329189495089
194,-1.1804910003120934
195,-0.6213168193590674
196,-1.0207726958271113
197,0.6201534201401865
198,-0.9799907798780112
