,Values
0,-4.540185112708506
1,-1.7588338560208059
2,0.8367772014186451
3,0.9943845692383151
4,-1.6803424977451737
5,-0.6424562368232003
6,0.23686733802756818
7,0.8236320015604619
8,-0.06355632525778593
9,-4.052912333890739
10,-0.43749117661531783
11,1.8628236302928947
12,0.1760563142297481
13,0.39265715079782376
14,-0.7468758346491512
15,-0.3586808470837456
16,-1.98797352202055
17,0.8375122374409798
18,1.0203047389250455
19,0.5190360818147894
20,1.4445862476206204
21,0.23881171687504724
22,-1.8444395091846566
23,-2.9967897347941115
24,1.6848190980008035
25,-0.20921979177005087
26,1.040118353214202
27,-1.3656042129266408
28,0.7479526792777879
29,1.7890346322084643
30,2.6333140924783014
31,-3.402781859666495
32,-0.7271060512188312
33,0.6249543774614351
34,-2.190467912082268
35,-0.27421134640531314
36,-0.16620083468353627
37,1.3054109522422195
38,-0.3480887102185239
39,1.5591234270753702
40,-2.5781372831007405
41,-0.2207074380393696
42,2.235761824832897
43,-2.486756092127224
44,-2.35783765110782
45,0.5873805593715922
46,-2.9551905132550753
47,-1.8160526154706473
48,1.8148483010707919
49,-1.9643483220449298
50,2.039022249347327
51,2.665226133775928
52,0.3437380454798818
53,-0.2960519896356619
54,-0.5117571474093242
55,-1.1059967958271792
56,-1.9634308098246391
57,3.7705877103028587
58,-0.8843091486446102
59,-1.5484498157282196
60,-1.0052240419094862
61,0.8972284294211447
62,-0.49506308725934023
63,-0.6215799473102447
64,0.9239968636033158
65,0.1682874809749904
66,0.7786493499551862
67,1.3760036145930747
68,-1.7818679118745417
69,3.16100288912129
70,-0.8299197729658674
71,-0.10425324894511642
72,0.44297366934675453
73,-1.7876973584106335
74,0.1396314462230578
75,-2.9224067504622178
76,-2.057960286611763
77,0.7439716316596878
78,0.42594956040603854
79,-0.0786632962669335
80,0.48583059114005894
81,-1.6375877536316157
82,-2.096884723403292
83,0.6814262070652093
84,-2.742349446203755
85,1.7173782001158537
86,3.321899303185231
87,-1.561954045913457
88,-1.7726974186714346
89,-1.152893751783839
90,1.1878583831713283
91,-1.6056948839719725
92,1.0770577969622337
93,2.796131859232607
94,0.7036408475038616
95,1.6370210865138182
96,-0.15023249302689362
97,0.9816422299931933
98,-0.65447388284799
99,-0.5254487223730683
100,2.0404701230197944
101,2.025034225360517
102,0.9579605021274964
103,-0.43013983952428975
104,-0.696388225179556
105,-0.07643796981664422
106,0.5543086957912453
107,-1.6496808128716203
108,0.9262759066641982
109,-1.6466763977537315
110,-0.6134642900597587
111,0.8087065705961588
112,0.8282936078480997
113,-0.3836713787870457
114,0.1534191294471296
115,-1.0593284409668349
116,1.1995645929359262
117,-0.8510690875455571
118,-4.355881876125339
119,0.3852577506531703
120,-2.3412705164543532
121,-1.2555589193194194
122,-0.2812797557500087
123,-0.6636263416983994
124,-3.4028767770200723
125,-1.4101425770451037
126,0.8702246485824828
127,0.337007045165006
128,1.9033803042259339
129,2.5110710662480757
130,0.5699918821288937
131,0.93988897786028
132,-1.4135308960810735
133,0.9252510679266701
134,0.868478980270852
135,-0.8258934623150896
136,0.6569405568477646
137,-2.636484033849017
138,-3.0792049809142195
139,0.2342570794241189
140,2.024962314345291
141,2.3828339454568117
142,1.9681735413685444
143,2.3552362528772544
144,-0.9554693240457203
145,-0.00748410027415038
146,3.480080166061564
147,-1.2841612130556497
148,-0.4339300245591733
149,0.045955617263552524
150,-4.286480771167678
151,1.9260128848897218
152,-0.38290036788582144
153,-0.27434945745215317
154,0.07896646364954353
155,2.454933488176869
156,-2.352002079946183
157,1.396445125550941
158,-1.2418561133475297
159,-1.8700324271487416
160,-0.12355861259385809
