Index,Sample#,Values
0,98,-1.42
1,100,0.56
2,35,0.56
3,76,0.68
4,17,2.1
5,88,2.14
6,25,6.72
7,78,7.41
8,70,7.8
9,15,9.15
10,61,9.86
11,80,10.45
12,54,10.92
13,83,11.38
14,16,12.65
15,44,12.84
16,27,13.4
17,62,13.89
18,68,15.8
19,64,18.05
20,93,18.42
21,55,20.25
22,56,20.97
23,47,21.44
24,60,22.56
25,48,23.05
26,96,23.64
27,58,28.17
28,95,28.99
29,79,29.38
30,65,33.8
31,86,35.06
32,81,35.78
33,77,38.87
34,31,40.07
35,49,41.26
36,91,42.96
37,41,46.43
38,50,47.25
39,66,50.72
40,42,51.96
41,10,53.63
42,23,55.54
43,33,56.6
44,52,60.43
45,30,60.96
46,5,62.55
47,82,63.14
48,7,63.45
49,59,64.77
50,87,69.07
51,4,71.04
52,72,71.8
53,1,73.76
54,85,77.48
55,51,80.59
56,12,81.38
57,29,83.4
58,97,84.3
59,13,84.98
60,74,88.72
61,89,91.73
62,34,93.58
63,3,94.65
64,38,95.18
65,37,99.44
66,36,100.15
67,45,106.42
68,63,107.64
69,57,108.76
70,46,110.31
71,92,111.68
72,26,111.86
73,6,113.3
74,84,118.36
75,40,119.12
76,43,121.1
77,94,122.74
78,2,130.1
79,75,133.93
80,19,151.21
81,32,153.36
82,22,153.79
83,11,154.87
84,24,156.5
85,67,167.47
86,99,174.3
87,69,175.4
88,18,187.68
89,20,206.04
90,8,221.45
91,14,264.71
92,90,266.51
93,28,285.7
94,39,290.86
95,9,326.14
96,73,372.47
97,71,374.56
98,21,393.94
99,53,442.08
