Index,Sample#,Values
0,88,-67.37
1,61,-57.25
2,25,-46.07
3,78,-41.19
4,98,-32.45
5,76,-29.18
6,60,-26.63
7,79,-22.26
8,95,-17.55
9,70,-12.98
10,35,-11.5
11,80,-9.25
12,55,-8.36
13,27,-5.21
14,23,-1.63
15,100,1.34
16,47,1.86
17,4,1.91
18,42,2.48
19,17,2.57
20,54,12.36
21,81,13.37
22,33,17.85
23,58,18.79
24,1,21.33
25,85,22.34
26,87,24.07
27,15,25.19
28,62,33.67
29,16,44.44
30,51,45.95
31,64,46.62
32,97,48.14
33,56,51.41
34,74,51.53
35,83,54.1
36,96,54.31
37,93,56.97
38,41,63.37
39,50,65.58
40,68,66.07
41,49,71.51
42,44,72.53
43,86,73.06
44,45,75.16
45,59,82.59
46,91,84.4
47,52,84.69
48,38,88.2
49,77,89.57
50,22,93.14
51,66,93.23
52,94,93.44
53,13,94.36
54,10,101.08
55,46,103.58
56,48,106.27
57,63,115.14
58,3,115.61
59,69,116.19
60,7,116.49
61,84,122.3
62,31,124.11
63,92,126.02
64,67,126.39
65,30,127.58
66,75,129.5
67,5,129.52
68,43,134.52
69,57,134.7
70,36,136.26
71,12,136.39
72,11,136.73
73,65,141.05
74,37,142.06
75,89,145.19
76,72,148.9
77,82,149.97
78,99,153.8
79,19,156.92
80,40,160.62
81,29,169.93
82,2,170.63
83,34,179.54
84,32,194.13
85,6,198.61
86,26,199.32
87,24,200.12
88,8,213.36
89,20,224.13
90,28,252.07
91,18,268.04
92,9,277.95
93,90,280.77
94,14,308.66
95,39,318.5
96,73,338.95
97,71,371.49
98,53,411.73
99,21,478.68
