Index,Sample#,Values
0,100,2.3269988375063155
1,98,9.063020211502682
2,35,9.787591663666028
3,17,12.191641578284258
4,76,16.94144246285933
5,83,34.990582653269385
6,70,39.04532371686575
7,44,40.656660649393686
8,16,42.115736348075394
9,80,42.862409201774184
10,68,45.745661858613886
11,15,46.201353777873045
12,27,50.92590012025314
13,88,52.907010702971924
14,93,54.09383439798772
15,62,56.308298159657596
16,54,59.01045150992945
17,25,59.089717593951676
18,47,80.64459816320552
19,55,81.86551319688215
20,78,91.41708641342518
21,60,91.53684165364507
22,48,98.45096586818498
23,96,100.28777388404338
24,64,101.9624570731968
25,61,103.23646267576783
26,56,120.1140053824613
27,81,134.52636173248533
28,77,141.89288538173452
29,58,156.45374058920098
30,65,171.0455619072654
31,91,172.3198422659428
32,86,172.9733405365682
33,31,173.0266732916886
34,72,189.27558619781627
35,33,200.71294581185148
36,5,207.75109664500576
37,30,211.7647063923471
38,79,216.898404656178
39,95,218.5339309388233
40,49,237.22221315403607
41,42,247.26942262926434
42,74,257.0077619703108
43,51,276.3475012177256
44,59,282.1880646956109
45,82,306.3381795907271
46,97,316.8085029063589
47,7,319.37181855086936
48,34,329.29427180504405
49,66,338.69133881070667
50,41,342.0117242052297
51,92,381.6370193068771
52,87,386.32474853282986
53,50,388.225679243998
54,10,397.447574090007
55,84,422.00463340081484
56,52,438.0630002168184
57,67,444.63040165510114
58,29,445.8157364629676
59,2,466.9120926530011
60,99,484.72666203455077
61,1,492.34848339185703
62,37,518.9042190815189
63,23,522.151531532781
64,40,524.808620168711
65,13,534.0735060221615
66,36,537.7831763856557
67,43,550.9637647813221
68,89,566.9690050873468
69,12,567.5673737996183
70,6,570.9406929221778
71,38,579.6743724904176
72,26,583.1842655234468
73,3,616.0288879972547
74,32,677.2313810854054
75,4,683.8120215954307
76,63,705.8380671249655
77,85,706.0925668127585
78,46,718.5255252160485
79,11,731.0623221717941
80,57,778.346699393701
81,22,804.0428498169379
82,45,808.5806044722333
83,24,917.8167334390338
84,14,971.6491627878742
85,75,985.2162058141062
86,18,998.1223353547342
87,90,1010.8083979316077
88,28,1084.1910277256563
89,9,1099.3538602657154
90,94,1117.1349660931423
91,73,1196.5071246899934
92,8,1230.3479203725542
93,69,1244.8198714832395
94,19,1248.4261953707817
95,53,1323.700075221219
96,20,1332.0476627543267
97,39,1795.2207686236209
98,71,1934.9029371043705
99,21,2702.9220620992596
