Sample#,Failure_time
1,368.129
2,388.75
3,493.264
4,356.295
5,660.455
6,589.951
7,525.19
8,145.035
9,427.669
10,406.302
11,459.497
12,431.051
13,403.973
14,331.199
15,318.244
16,296.359
17,454.182
18,140.497
19,442.103
20,275.163
21,529.75
22,296.023
23,243.342
24,205.075
25,524.853
26,397.176
27,589.007
28,457.149
29,139.595
30,380.489
31,292.768
32,458.0
33,250.448
34,603.708
35,428.671
36,386.455
37,479.124
38,339.136
39,251.536
40,225.177
41,316.596
42,471.017
43,501.013
44,340.387
45,486.495
46,333.192
47,499.943
48,496.346
49,291.971
50,125.145
51,322.734
52,358.303
53,313.541
54,250.718
55,335.385
56,519.463
57,329.613
58,262.487
59,464.317
60,264.931
61,449.676
62,458.846
63,336.259
64,254.737
65,383.029
66,268.96
67,320.876
68,670.346
69,548.076
70,319.182
71,191.264
72,381.263
73,251.438
74,437.222
75,700.11
76,487.161
77,433.037
78,213.975
79,535.154
80,414.46
81,362.501
82,480.668
83,208.604
84,313.786
85,409.111
86,286.426
87,287.592
88,141.424
89,232.963
90,424.856
91,509.461
92,380.797
93,496.182
94,130.812
95,311.579
96,505.386
97,290.256
98,284.326
99,206.087
100,301.051
101,395.182
102,315.1
103,224.74
104,287.548
105,194.507
106,209.081
107,155.297
108,196.917
109,275.233
110,538.286
111,487.459
112,468.984
113,306.256
114,380.359
115,367.236
116,376.689
117,314.586
118,450.4
119,331.608
120,217.065
121,436.659
122,337.944
123,500.583
124,391.437
125,334.327
126,444.025
127,359.828
128,374.116
129,757.133
130,268.93
131,529.4
132,337.068
133,343.319
134,342.734
135,649.382
136,389.843
137,426.411
138,367.096
139,297.403
140,257.038
141,519.933
142,383.288
143,325.395
144,254.167
145,330.895
146,330.088
147,263.25
148,173.495
149,385.618
150,158.364
151,513.37
152,412.738
153,363.476
154,342.248
155,312.872
156,310.546
157,286.897
158,305.415
159,375.268
160,261.181
161,156.674
162,390.184
163,527.925
164,365.371
165,429.155
166,618.11
167,232.057
168,312.804
169,347.626
170,438.488
171,214.072
172,365.46
173,170.501
174,257.093
175,283.412
176,319.862
177,467.727
178,654.826
179,458.957
180,537.387
181,275.913
182,90.67
183,199.252
184,423.847
185,565.684
186,378.222
187,444.798
188,172.101
189,410.168
190,187.435
191,189.13
192,482.105
193,433.313
194,315.297
195,340.58
196,204.79
197,163.844
198,333.968
199,454.052
