Index,Sample#,Values
0,100,264.51742154431804
1,35,794.3406475582681
2,98,838.4154489582312
3,17,842.0972077680697
4,76,1430.3095331005106
5,44,2024.9946013575945
6,83,2131.809185240797
7,15,2317.1126749100836
8,16,2740.7182869073786
9,88,2916.859237647308
10,70,2972.339249593117
11,68,2998.0737580592904
12,54,3124.4961026481524
13,62,3336.053695774591
14,25,3535.1896799011383
15,80,3546.5783260019098
16,78,3583.455110069314
17,48,3801.8433749429328
18,93,3873.4155854623164
19,64,4032.1535083828157
20,27,4160.326785042538
21,61,4545.90229466993
22,56,4603.518405545165
23,96,5141.138795197266
24,65,5469.700789942713
25,55,5771.515534994758
26,47,5808.507537172274
27,60,6647.780967197065
28,58,6867.680758216781
29,31,7148.113936043717
30,86,7168.925925861497
31,77,7605.442460070256
32,95,7771.810746810248
33,79,7942.191761763468
34,49,8433.93227602185
35,81,8499.511276116315
36,91,8514.562747412929
37,41,9582.234186209016
38,50,9693.770095675187
39,66,9827.357878078632
40,10,10222.79426627831
41,82,11068.824705891413
42,30,11079.946338836839
43,5,11331.881184261943
44,42,11711.182510810511
45,7,11727.048200803667
46,52,11756.05607379075
47,33,12263.33720038236
48,23,12419.48218011698
49,59,12561.928709662374
50,72,12631.240092538004
51,29,14266.18600536231
52,87,14310.886607367924
53,12,14492.1803287683
54,4,15014.147267676877
55,1,15144.501616033203
56,85,15745.170538188955
57,13,15794.700663871889
58,34,15808.086389146803
59,51,15868.799179806281
60,89,16068.132398226897
61,97,16439.83770381277
62,3,17025.883653118723
63,74,17102.297343492068
64,37,17370.831441224815
65,38,17552.208548333798
66,36,17578.654319383066
67,26,18439.31934689509
68,6,18677.13709438728
69,57,18968.670280627783
70,63,19100.41311948849
71,45,19534.20035713411
72,92,19561.30910205953
73,46,19697.88216872249
74,40,20179.630876907107
75,84,20651.538420819434
76,43,20884.936345543625
77,2,21704.72875410888
78,94,21759.28724346731
79,75,22900.094165888717
80,32,24814.530205532363
81,19,25044.825179013853
82,24,25185.797627812244
83,11,25869.342005318962
84,22,26340.9597854234
85,67,27819.921613550825
86,99,28397.6415673734
87,18,28673.198319345633
88,69,29081.572364390384
89,20,31827.467539699883
90,8,34061.49699737082
91,14,38514.58938105285
92,90,39109.78781100128
93,39,41749.36892989442
94,28,41938.15127467853
95,9,46674.98545086066
96,71,51433.847838117144
97,73,51573.3704511297
98,21,52472.14694231495
99,53,58928.06361398008
