Index,Sample#,Values
0,100,2.7244202613115096
1,35,13.937861016248963
2,98,15.101188033060055
3,17,15.199735603190351
4,76,33.37101706490888
5,44,55.91371103914736
6,83,60.3474271986167
7,15,68.2960457913464
8,16,87.6275151786485
9,88,96.11641224629297
10,70,98.84278963005049
11,68,100.1158482656144
12,54,106.4464380472676
13,62,117.319283151376
14,25,127.86403407000309
15,80,128.47599503905317
16,78,130.46407301057553
17,48,142.4396280624994
18,93,146.43841362153586
19,64,155.43503749371496
20,27,162.82598688601894
21,61,185.72299785673115
22,56,189.22805703609782
23,96,222.9439554846858
24,65,244.4188998775749
25,55,264.7051850440277
26,47,267.2276828898753
27,60,326.50557542841216
28,58,342.6663761032251
29,31,363.64193629629204
30,86,365.2147579957521
31,77,398.7087481369294
32,95,411.72439990702355
33,79,425.19461956101225
34,49,464.8552339852006
35,81,470.23106899313603
36,91,471.4677562106872
37,41,561.8403449020363
38,50,571.5758530022272
39,66,583.3077769761258
40,10,618.4880507633834
41,82,695.9748806128154
42,30,697.013230290916
43,5,720.6694488985036
44,42,756.7674549725745
45,7,758.2898959869469
46,52,761.0760160915451
47,33,810.3339036594906
48,23,825.6975849024863
49,59,839.7953209378901
50,72,846.6830899979054
51,29,1014.3640477869404
52,87,1019.0858307672132
53,12,1038.3093183281892
54,4,1094.306116818769
55,1,1108.4396946020402
56,85,1174.3259218212206
57,13,1179.8139798676175
58,34,1181.2985835257975
59,51,1188.0398504257946
60,89,1210.2606996618551
61,97,1252.054035130202
62,3,1318.880170598634
63,74,1327.6767888988618
64,37,1358.7409082693275
65,38,1379.8549325379013
66,36,1382.9423380796893
67,26,1484.6394313280962
68,6,1513.152862568157
69,57,1548.347179929047
70,63,1564.3377895845513
71,45,1617.3670366721256
72,92,1620.7001159578206
73,46,1637.5260886082178
74,40,1697.328866022391
75,84,1756.5846333615063
76,43,1786.1358993272167
77,2,1891.1978590986719
78,94,1898.259189655704
79,75,2047.8597636716331
80,32,2307.079658229206
81,19,2338.935718752759
82,24,2358.5062708158753
83,11,2454.150381777846
84,22,2520.8604089818336
85,67,2733.8035238334123
86,99,2818.502406138752
87,18,2859.19754279107
88,69,2919.8566008695634
89,20,3338.3362999413794
90,8,3692.033325002107
91,14,4430.781138269474
92,90,4532.807562656725
93,39,4994.293244575113
94,28,5027.8544794985255
95,9,5893.513032132901
96,71,6807.184442190019
97,73,6834.614429548401
98,21,7012.173022973228
99,53,8330.307611673723
